================ Training Loss (Fri Feb 27 02:32:31 2026) ================
[Rank 0] (epoch: 44, iters: 1120, time: 0.074, data: 0.001) , D_A: 0.114, G_A: 0.348, cycle_A: 0.626, idt_A: 0.215, D_B: 0.277, G_B: 0.381, cycle_B: 0.630, idt_B: 0.185

[Rank 0] (epoch: 45, iters: 100, time: 0.078, data: 0.134) , D_A: 0.113, G_A: 0.572, cycle_A: 0.394, idt_A: 0.194, D_B: 0.171, G_B: 0.468, cycle_B: 0.572, idt_B: 0.136

[Rank 0] (epoch: 45, iters: 200, time: 0.076, data: 0.001) , D_A: 0.094, G_A: 0.587, cycle_A: 0.730, idt_A: 0.262, D_B: 0.149, G_B: 0.709, cycle_B: 0.747, idt_B: 0.242

[Rank 0] (epoch: 45, iters: 300, time: 0.078, data: 0.001) , D_A: 0.145, G_A: 0.386, cycle_A: 0.562, idt_A: 0.310, D_B: 0.303, G_B: 1.074, cycle_B: 0.765, idt_B: 0.134

[Rank 0] (epoch: 45, iters: 400, time: 0.077, data: 0.001) , D_A: 0.057, G_A: 0.286, cycle_A: 0.629, idt_A: 0.284, D_B: 0.256, G_B: 0.970, cycle_B: 0.691, idt_B: 0.192

[Rank 0] (epoch: 45, iters: 500, time: 0.075, data: 0.001) , D_A: 0.268, G_A: 0.491, cycle_A: 0.679, idt_A: 0.607, D_B: 0.193, G_B: 0.552, cycle_B: 1.309, idt_B: 0.139

[Rank 0] (epoch: 45, iters: 600, time: 0.077, data: 0.001) , D_A: 0.050, G_A: 1.223, cycle_A: 1.374, idt_A: 0.635, D_B: 0.212, G_B: 0.257, cycle_B: 1.279, idt_B: 0.157

[Rank 0] (epoch: 45, iters: 700, time: 0.076, data: 0.001) , D_A: 0.061, G_A: 0.634, cycle_A: 0.377, idt_A: 0.554, D_B: 0.077, G_B: 0.282, cycle_B: 1.305, idt_B: 0.127

[Rank 0] (epoch: 45, iters: 800, time: 0.075, data: 0.001) , D_A: 0.030, G_A: 0.356, cycle_A: 0.883, idt_A: 0.314, D_B: 0.077, G_B: 0.637, cycle_B: 0.766, idt_B: 0.182

